Episode: 1 | Reward: 20.0 | Q Loss: 0.7113817930221558 | Steps: 20
Episode: 2 | Reward: 17.0 | Q Loss: 0.6795968413352966 | Steps: 37
Episode: 3 | Reward: 32.0 | Q Loss: 0.68500816822052 | Steps: 69
Episode: 4 | Reward: 15.0 | Q Loss: 0.7098575830459595 | Steps: 84
Episode: 5 | Reward: 32.0 | Q Loss: 0.6867499351501465 | Steps: 116
Episode: 6 | Reward: 14.0 | Q Loss: 0.6982470154762268 | Steps: 130
Episode: 7 | Reward: 21.0 | Q Loss: 0.6874926090240479 | Steps: 151
Episode: 8 | Reward: 21.0 | Q Loss: 0.6859010457992554 | Steps: 172
Episode: 9 | Reward: 25.0 | Q Loss: 0.6951704025268555 | Steps: 197
Episode: 10 | Reward: 14.0 | Q Loss: 0.7017942667007446 | Steps: 211
Episode: 11 | Reward: 27.0 | Q Loss: 0.6903650164604187 | Steps: 238
Episode: 12 | Reward: 18.0 | Q Loss: 0.6923519968986511 | Steps: 256
Episode: 13 | Reward: 12.0 | Q Loss: 0.6911152601242065 | Steps: 268
Episode: 14 | Reward: 12.0 | Q Loss: 0.6978682279586792 | Steps: 280
Episode: 15 | Reward: 16.0 | Q Loss: 0.7161102890968323 | Steps: 296
Episode: 16 | Reward: 13.0 | Q Loss: 0.7221941351890564 | Steps: 309
Episode: 17 | Reward: 30.0 | Q Loss: 0.6968476176261902 | Steps: 339
Episode: 18 | Reward: 12.0 | Q Loss: 0.6922509074211121 | Steps: 351
Episode: 19 | Reward: 17.0 | Q Loss: 0.6949228644371033 | Steps: 368
Episode: 20 | Reward: 21.0 | Q Loss: 0.7091121673583984 | Steps: 389
Episode: 21 | Reward: 28.0 | Q Loss: 0.6914746165275574 | Steps: 417
Episode: 22 | Reward: 21.0 | Q Loss: 0.6911504864692688 | Steps: 438
Episode: 23 | Reward: 11.0 | Q Loss: 0.6902308464050293 | Steps: 449
Episode: 24 | Reward: 36.0 | Q Loss: 0.6963521838188171 | Steps: 485
Episode: 25 | Reward: 10.0 | Q Loss: 0.6896418929100037 | Steps: 495
Episode: 26 | Reward: 15.0 | Q Loss: 0.6937996745109558 | Steps: 510
Episode: 27 | Reward: 10.0 | Q Loss: 0.6918367743492126 | Steps: 520
Episode: 28 | Reward: 20.0 | Q Loss: 0.6951466798782349 | Steps: 540
Episode: 29 | Reward: 17.0 | Q Loss: 0.6974931955337524 | Steps: 557
Episode: 30 | Reward: 19.0 | Q Loss: 0.6962289214134216 | Steps: 576
Episode: 31 | Reward: 14.0 | Q Loss: 0.7030020356178284 | Steps: 590
Episode: 32 | Reward: 24.0 | Q Loss: 0.6921050548553467 | Steps: 614
Episode: 33 | Reward: 15.0 | Q Loss: 0.6909304857254028 | Steps: 629
Episode: 34 | Reward: 24.0 | Q Loss: 0.703842282295227 | Steps: 653
Episode: 35 | Reward: 22.0 | Q Loss: 0.6991130113601685 | Steps: 675
Episode: 36 | Reward: 42.0 | Q Loss: 0.6916248798370361 | Steps: 717
Episode: 37 | Reward: 15.0 | Q Loss: 0.6947299838066101 | Steps: 732
Episode: 38 | Reward: 12.0 | Q Loss: 0.6837870478630066 | Steps: 744
Episode: 39 | Reward: 54.0 | Q Loss: 0.6823582649230957 | Steps: 798
Episode: 40 | Reward: 26.0 | Q Loss: 0.6869801878929138 | Steps: 824
Episode: 41 | Reward: 15.0 | Q Loss: 0.6938909888267517 | Steps: 839
Episode: 42 | Reward: 11.0 | Q Loss: 0.6999295949935913 | Steps: 850
Episode: 43 | Reward: 15.0 | Q Loss: 0.7162398099899292 | Steps: 865
Episode: 44 | Reward: 21.0 | Q Loss: 0.6910717487335205 | Steps: 886
