Episode: 1 | Reward: 20.0 | Q Loss: 0.7113817930221558 | Steps: 20
Episode: 2 | Reward: 25.0 | Q Loss: 0.7009764909744263 | Steps: 45
Episode: 3 | Reward: 16.0 | Q Loss: 0.6881596446037292 | Steps: 61
Episode: 4 | Reward: 11.0 | Q Loss: 0.6947657465934753 | Steps: 72
Episode: 5 | Reward: 11.0 | Q Loss: 0.6889200210571289 | Steps: 83
Episode: 6 | Reward: 17.0 | Q Loss: 0.6980632543563843 | Steps: 100
Episode: 7 | Reward: 15.0 | Q Loss: 0.6929817199707031 | Steps: 115
Episode: 8 | Reward: 27.0 | Q Loss: 0.6851953268051147 | Steps: 142
Episode: 9 | Reward: 16.0 | Q Loss: 0.6854195594787598 | Steps: 158
Episode: 10 | Reward: 25.0 | Q Loss: 0.6966121196746826 | Steps: 183
Episode: 11 | Reward: 11.0 | Q Loss: 0.683676540851593 | Steps: 194
Episode: 12 | Reward: 30.0 | Q Loss: 0.6911240816116333 | Steps: 224
Episode: 13 | Reward: 23.0 | Q Loss: 0.7064654231071472 | Steps: 247
Episode: 14 | Reward: 19.0 | Q Loss: 0.6843950748443604 | Steps: 266
Episode: 15 | Reward: 14.0 | Q Loss: 0.6954427361488342 | Steps: 280
Episode: 16 | Reward: 17.0 | Q Loss: 0.6901518106460571 | Steps: 297
Episode: 17 | Reward: 17.0 | Q Loss: 0.6976461410522461 | Steps: 314
Episode: 18 | Reward: 22.0 | Q Loss: 0.6828194856643677 | Steps: 336
Episode: 19 | Reward: 10.0 | Q Loss: 0.6942502856254578 | Steps: 346
Episode: 20 | Reward: 72.0 | Q Loss: 0.6915873289108276 | Steps: 418
Episode: 21 | Reward: 12.0 | Q Loss: 0.6923841238021851 | Steps: 430
Episode: 22 | Reward: 30.0 | Q Loss: 0.6986602544784546 | Steps: 460
Episode: 23 | Reward: 25.0 | Q Loss: 0.6916325688362122 | Steps: 485
Episode: 24 | Reward: 33.0 | Q Loss: 0.69200599193573 | Steps: 518
Episode: 25 | Reward: 14.0 | Q Loss: 0.7071492075920105 | Steps: 532
Episode: 26 | Reward: 15.0 | Q Loss: 0.694574773311615 | Steps: 547
Episode: 27 | Reward: 34.0 | Q Loss: 0.6966125965118408 | Steps: 581
Episode: 28 | Reward: 12.0 | Q Loss: 0.7002444267272949 | Steps: 593
Episode: 29 | Reward: 19.0 | Q Loss: 0.6928442120552063 | Steps: 612
Episode: 30 | Reward: 12.0 | Q Loss: 0.6873817443847656 | Steps: 624
Episode: 31 | Reward: 18.0 | Q Loss: 0.6942321062088013 | Steps: 642
Episode: 32 | Reward: 36.0 | Q Loss: 0.6964853405952454 | Steps: 678
Episode: 33 | Reward: 23.0 | Q Loss: 0.6914137005805969 | Steps: 701
Episode: 34 | Reward: 22.0 | Q Loss: 0.7043587565422058 | Steps: 723
Episode: 35 | Reward: 21.0 | Q Loss: 0.6945019960403442 | Steps: 744
Episode: 36 | Reward: 49.0 | Q Loss: 0.7069491744041443 | Steps: 793
Episode: 37 | Reward: 43.0 | Q Loss: 0.6925670504570007 | Steps: 836
Episode: 38 | Reward: 17.0 | Q Loss: 0.6931096911430359 | Steps: 853
Episode: 39 | Reward: 25.0 | Q Loss: 0.69819176197052 | Steps: 878
Episode: 40 | Reward: 23.0 | Q Loss: 0.689073383808136 | Steps: 901
Episode: 41 | Reward: 25.0 | Q Loss: 0.6998733282089233 | Steps: 926
Episode: 42 | Reward: 15.0 | Q Loss: 0.6978229880332947 | Steps: 941
Episode: 43 | Reward: 30.0 | Q Loss: 0.6938235759735107 | Steps: 971
Episode: 44 | Reward: 21.0 | Q Loss: 0.6986092329025269 | Steps: 992
Episode: 45 | Reward: 21.0 | Q Loss: 0.6937558650970459 | Steps: 1013
Episode: 46 | Reward: 34.0 | Q Loss: 0.6956162452697754 | Steps: 1047
Episode: 47 | Reward: 18.0 | Q Loss: 0.6909172534942627 | Steps: 1065
Episode: 48 | Reward: 20.0 | Q Loss: 0.695238471031189 | Steps: 1085
Episode: 49 | Reward: 13.0 | Q Loss: 0.6951755881309509 | Steps: 1098
Episode: 50 | Reward: 21.0 | Q Loss: 0.6930650472640991 | Steps: 1119
Episode: 51 | Reward: 12.0 | Q Loss: 0.6983091831207275 | Steps: 1131
Episode: 52 | Reward: 11.0 | Q Loss: 0.6913114786148071 | Steps: 1142
Episode: 53 | Reward: 16.0 | Q Loss: 0.6929045915603638 | Steps: 1158
Episode: 54 | Reward: 18.0 | Q Loss: 0.6929988265037537 | Steps: 1176
Episode: 55 | Reward: 16.0 | Q Loss: 0.6923153400421143 | Steps: 1192
Episode: 56 | Reward: 34.0 | Q Loss: 0.6993705630302429 | Steps: 1226
Episode: 57 | Reward: 29.0 | Q Loss: 0.6968122720718384 | Steps: 1255
Episode: 58 | Reward: 9.0 | Q Loss: 0.7000647187232971 | Steps: 1264
Episode: 59 | Reward: 13.0 | Q Loss: 0.688410758972168 | Steps: 1277
Episode: 60 | Reward: 25.0 | Q Loss: 0.6925100684165955 | Steps: 1302
Episode: 61 | Reward: 17.0 | Q Loss: 0.6990227103233337 | Steps: 1319
Episode: 62 | Reward: 38.0 | Q Loss: 0.6850818991661072 | Steps: 1357
Episode: 63 | Reward: 29.0 | Q Loss: 0.7015078067779541 | Steps: 1386
Episode: 64 | Reward: 50.0 | Q Loss: 0.6964378356933594 | Steps: 1436
Episode: 65 | Reward: 9.0 | Q Loss: 0.6961718201637268 | Steps: 1445
Episode: 66 | Reward: 16.0 | Q Loss: 0.699609100818634 | Steps: 1461
Episode: 67 | Reward: 11.0 | Q Loss: 0.7000482082366943 | Steps: 1472
Episode: 68 | Reward: 12.0 | Q Loss: 0.7018974423408508 | Steps: 1484
Episode: 69 | Reward: 38.0 | Q Loss: 0.7148243188858032 | Steps: 1522
Episode: 70 | Reward: 27.0 | Q Loss: 0.6963391304016113 | Steps: 1549
Episode: 71 | Reward: 47.0 | Q Loss: 0.7031125426292419 | Steps: 1596
Episode: 72 | Reward: 25.0 | Q Loss: 0.6871488094329834 | Steps: 1621
Episode: 73 | Reward: 11.0 | Q Loss: 0.7047006487846375 | Steps: 1632
Episode: 74 | Reward: 32.0 | Q Loss: 0.6917833685874939 | Steps: 1664
Episode: 75 | Reward: 21.0 | Q Loss: 0.6951111555099487 | Steps: 1685
Episode: 76 | Reward: 13.0 | Q Loss: 0.6962917447090149 | Steps: 1698
Episode: 77 | Reward: 13.0 | Q Loss: 0.7221018075942993 | Steps: 1711
Episode: 78 | Reward: 20.0 | Q Loss: 0.712165892124176 | Steps: 1731
Episode: 79 | Reward: 19.0 | Q Loss: 0.7050639986991882 | Steps: 1750
Episode: 80 | Reward: 22.0 | Q Loss: 0.6980878114700317 | Steps: 1772
Episode: 81 | Reward: 19.0 | Q Loss: 0.6976629495620728 | Steps: 1791
Episode: 82 | Reward: 10.0 | Q Loss: 0.7227886915206909 | Steps: 1801
Episode: 83 | Reward: 23.0 | Q Loss: 0.7007312178611755 | Steps: 1824
Episode: 84 | Reward: 25.0 | Q Loss: 0.7046659588813782 | Steps: 1849
Episode: 85 | Reward: 26.0 | Q Loss: 0.7030051946640015 | Steps: 1875
Episode: 86 | Reward: 18.0 | Q Loss: 0.700527012348175 | Steps: 1893
Episode: 87 | Reward: 33.0 | Q Loss: 0.7062084674835205 | Steps: 1926
Episode: 88 | Reward: 26.0 | Q Loss: 0.706493616104126 | Steps: 1952
Episode: 89 | Reward: 16.0 | Q Loss: 0.702511191368103 | Steps: 1968
Episode: 90 | Reward: 11.0 | Q Loss: 0.7192811965942383 | Steps: 1979
Episode: 91 | Reward: 23.0 | Q Loss: 0.7038321495056152 | Steps: 2002
Episode: 92 | Reward: 12.0 | Q Loss: 0.6998345255851746 | Steps: 2014
Episode: 93 | Reward: 12.0 | Q Loss: 0.7012719511985779 | Steps: 2026
Episode: 94 | Reward: 13.0 | Q Loss: 0.6996036767959595 | Steps: 2039
Episode: 95 | Reward: 14.0 | Q Loss: 0.7065554857254028 | Steps: 2053
Episode: 96 | Reward: 14.0 | Q Loss: 0.7109814882278442 | Steps: 2067
Episode: 97 | Reward: 20.0 | Q Loss: 0.6970841884613037 | Steps: 2087
Episode: 98 | Reward: 31.0 | Q Loss: 0.7081153392791748 | Steps: 2118
Episode: 99 | Reward: 11.0 | Q Loss: 0.7068641185760498 | Steps: 2129
Episode: 100 | Reward: 12.0 | Q Loss: 0.6986150145530701 | Steps: 2141
Episode: 101 | Reward: 23.0 | Q Loss: 0.7002438902854919 | Steps: 2164
