Episode: 1 | Reward: 13.0 | Q Loss: 0.7232998609542847 | Steps: 13
Episode: 2 | Reward: 20.0 | Q Loss: 0.6864297986030579 | Steps: 33
Episode: 3 | Reward: 17.0 | Q Loss: 0.7077115178108215 | Steps: 50
Episode: 4 | Reward: 17.0 | Q Loss: 0.6903293132781982 | Steps: 67
Episode: 5 | Reward: 16.0 | Q Loss: 0.6920570135116577 | Steps: 83
Episode: 6 | Reward: 31.0 | Q Loss: 0.7175273895263672 | Steps: 114
Episode: 7 | Reward: 17.0 | Q Loss: 0.6955887675285339 | Steps: 131
Episode: 8 | Reward: 19.0 | Q Loss: 0.6997852325439453 | Steps: 150
Episode: 9 | Reward: 35.0 | Q Loss: 0.6992643475532532 | Steps: 185
Episode: 10 | Reward: 12.0 | Q Loss: 0.6876668334007263 | Steps: 197
Episode: 11 | Reward: 16.0 | Q Loss: 0.7097002267837524 | Steps: 213
Episode: 12 | Reward: 31.0 | Q Loss: 0.6807194352149963 | Steps: 244
Episode: 13 | Reward: 19.0 | Q Loss: 0.6935084462165833 | Steps: 263
Episode: 14 | Reward: 21.0 | Q Loss: 0.701993465423584 | Steps: 284
Episode: 15 | Reward: 17.0 | Q Loss: 0.689050018787384 | Steps: 301
Episode: 16 | Reward: 15.0 | Q Loss: 0.6986899971961975 | Steps: 316
Episode: 17 | Reward: 14.0 | Q Loss: 0.7155621647834778 | Steps: 330
Episode: 18 | Reward: 12.0 | Q Loss: 0.7032363414764404 | Steps: 342
Episode: 19 | Reward: 26.0 | Q Loss: 0.7312259078025818 | Steps: 368
Episode: 20 | Reward: 18.0 | Q Loss: 0.6916539072990417 | Steps: 386
Episode: 21 | Reward: 21.0 | Q Loss: 0.6948602199554443 | Steps: 407
Episode: 22 | Reward: 23.0 | Q Loss: 0.7038045525550842 | Steps: 430
Episode: 23 | Reward: 17.0 | Q Loss: 0.697306752204895 | Steps: 447
Episode: 24 | Reward: 49.0 | Q Loss: 0.6983314752578735 | Steps: 496
Episode: 25 | Reward: 16.0 | Q Loss: 0.696550726890564 | Steps: 512
Episode: 26 | Reward: 16.0 | Q Loss: 0.6904167532920837 | Steps: 528
Episode: 27 | Reward: 28.0 | Q Loss: 0.6877151131629944 | Steps: 556
Episode: 28 | Reward: 22.0 | Q Loss: 0.6956290602684021 | Steps: 578
Episode: 29 | Reward: 16.0 | Q Loss: 0.679965078830719 | Steps: 594
Episode: 30 | Reward: 18.0 | Q Loss: 0.6945918202400208 | Steps: 612
Episode: 31 | Reward: 21.0 | Q Loss: 0.7008110284805298 | Steps: 633
Episode: 32 | Reward: 33.0 | Q Loss: 0.6924905180931091 | Steps: 666
Episode: 33 | Reward: 30.0 | Q Loss: 0.6901600360870361 | Steps: 696
Episode: 34 | Reward: 17.0 | Q Loss: 0.6910727620124817 | Steps: 713
Episode: 35 | Reward: 10.0 | Q Loss: 0.6949073076248169 | Steps: 723
Episode: 36 | Reward: 19.0 | Q Loss: 0.6988973021507263 | Steps: 742
Episode: 37 | Reward: 18.0 | Q Loss: 0.6931018233299255 | Steps: 760
Episode: 38 | Reward: 12.0 | Q Loss: 0.6920691132545471 | Steps: 772
Episode: 39 | Reward: 26.0 | Q Loss: 0.6955987811088562 | Steps: 798
Episode: 40 | Reward: 27.0 | Q Loss: 0.7002893090248108 | Steps: 825
Episode: 41 | Reward: 34.0 | Q Loss: 0.690907895565033 | Steps: 859
Episode: 42 | Reward: 20.0 | Q Loss: 0.6897563338279724 | Steps: 879
Episode: 43 | Reward: 25.0 | Q Loss: 0.6883440017700195 | Steps: 904
Episode: 44 | Reward: 13.0 | Q Loss: 0.7142460942268372 | Steps: 917
Episode: 45 | Reward: 14.0 | Q Loss: 0.7052589654922485 | Steps: 931
Episode: 46 | Reward: 19.0 | Q Loss: 0.6799556016921997 | Steps: 950
Episode: 47 | Reward: 16.0 | Q Loss: 0.6922561526298523 | Steps: 966
Episode: 48 | Reward: 13.0 | Q Loss: 0.6915360689163208 | Steps: 979
Episode: 49 | Reward: 17.0 | Q Loss: 0.6967469453811646 | Steps: 996
Episode: 50 | Reward: 19.0 | Q Loss: 0.6971599459648132 | Steps: 1015
Episode: 51 | Reward: 20.0 | Q Loss: 0.6919305920600891 | Steps: 1035
Episode: 52 | Reward: 51.0 | Q Loss: 0.6960449814796448 | Steps: 1086
Episode: 53 | Reward: 27.0 | Q Loss: 0.6964257955551147 | Steps: 1113
Episode: 54 | Reward: 12.0 | Q Loss: 0.706889808177948 | Steps: 1125
Episode: 55 | Reward: 51.0 | Q Loss: 0.6970639228820801 | Steps: 1176
Episode: 56 | Reward: 17.0 | Q Loss: 0.6974725127220154 | Steps: 1193
Episode: 57 | Reward: 27.0 | Q Loss: 0.6964435577392578 | Steps: 1220
Episode: 58 | Reward: 22.0 | Q Loss: 0.6876025795936584 | Steps: 1242
Episode: 59 | Reward: 18.0 | Q Loss: 0.6970977187156677 | Steps: 1260
Episode: 60 | Reward: 19.0 | Q Loss: 0.6823129653930664 | Steps: 1279
Episode: 61 | Reward: 13.0 | Q Loss: 0.6929566264152527 | Steps: 1292
Episode: 62 | Reward: 18.0 | Q Loss: 0.7010157108306885 | Steps: 1310
Episode: 63 | Reward: 29.0 | Q Loss: 0.6980994939804077 | Steps: 1339
Episode: 64 | Reward: 32.0 | Q Loss: 0.6911100745201111 | Steps: 1371
Episode: 65 | Reward: 16.0 | Q Loss: 0.6955390572547913 | Steps: 1387
Episode: 66 | Reward: 15.0 | Q Loss: 0.7003988027572632 | Steps: 1402
Episode: 67 | Reward: 8.0 | Q Loss: 0.696182906627655 | Steps: 1410
Episode: 68 | Reward: 29.0 | Q Loss: 0.7084240913391113 | Steps: 1439
Episode: 69 | Reward: 11.0 | Q Loss: 0.7071426510810852 | Steps: 1450
Episode: 70 | Reward: 13.0 | Q Loss: 0.7006286978721619 | Steps: 1463
Episode: 71 | Reward: 27.0 | Q Loss: 0.7046132683753967 | Steps: 1490
Episode: 72 | Reward: 18.0 | Q Loss: 0.7001137137413025 | Steps: 1508
Episode: 73 | Reward: 27.0 | Q Loss: 0.6944775581359863 | Steps: 1535
Episode: 74 | Reward: 24.0 | Q Loss: 0.6949279308319092 | Steps: 1559
Episode: 75 | Reward: 18.0 | Q Loss: 0.7203409075737 | Steps: 1577
Episode: 76 | Reward: 10.0 | Q Loss: 0.6912755370140076 | Steps: 1587
Episode: 77 | Reward: 18.0 | Q Loss: 0.6984756588935852 | Steps: 1605
Episode: 78 | Reward: 13.0 | Q Loss: 0.717599630355835 | Steps: 1618
Episode: 79 | Reward: 24.0 | Q Loss: 0.6995949149131775 | Steps: 1642
Episode: 80 | Reward: 16.0 | Q Loss: 0.6960824131965637 | Steps: 1658
Episode: 81 | Reward: 21.0 | Q Loss: 0.69084233045578 | Steps: 1679
Episode: 82 | Reward: 19.0 | Q Loss: 0.7095742225646973 | Steps: 1698
Episode: 83 | Reward: 22.0 | Q Loss: 0.6947850584983826 | Steps: 1720
Episode: 84 | Reward: 24.0 | Q Loss: 0.6991735696792603 | Steps: 1744
Episode: 85 | Reward: 33.0 | Q Loss: 0.6984395384788513 | Steps: 1777
Episode: 86 | Reward: 34.0 | Q Loss: 0.707205593585968 | Steps: 1811
Episode: 87 | Reward: 30.0 | Q Loss: 0.7075986266136169 | Steps: 1841
Episode: 88 | Reward: 11.0 | Q Loss: 0.7063013911247253 | Steps: 1852
Episode: 89 | Reward: 12.0 | Q Loss: 0.721118152141571 | Steps: 1864
Episode: 90 | Reward: 10.0 | Q Loss: 0.6928260922431946 | Steps: 1874
Episode: 91 | Reward: 17.0 | Q Loss: 0.691469132900238 | Steps: 1891
Episode: 92 | Reward: 15.0 | Q Loss: 0.7014920711517334 | Steps: 1906
Episode: 93 | Reward: 34.0 | Q Loss: 0.7021218538284302 | Steps: 1940
Episode: 94 | Reward: 13.0 | Q Loss: 0.7007867097854614 | Steps: 1953
Episode: 95 | Reward: 26.0 | Q Loss: 0.6993868350982666 | Steps: 1979
Episode: 96 | Reward: 16.0 | Q Loss: 0.69456946849823 | Steps: 1995
Episode: 97 | Reward: 13.0 | Q Loss: 0.698040783405304 | Steps: 2008
Episode: 98 | Reward: 16.0 | Q Loss: 0.705323338508606 | Steps: 2024
Episode: 99 | Reward: 25.0 | Q Loss: 0.7117586135864258 | Steps: 2049
Episode: 100 | Reward: 13.0 | Q Loss: 0.703385591506958 | Steps: 2062
Episode: 101 | Reward: 25.0 | Q Loss: 0.7055124640464783 | Steps: 2087
Episode: 102 | Reward: 11.0 | Q Loss: 0.6983177661895752 | Steps: 2098
Episode: 103 | Reward: 12.0 | Q Loss: 0.7010676264762878 | Steps: 2110
Episode: 104 | Reward: 15.0 | Q Loss: 0.6981179714202881 | Steps: 2125
Episode: 105 | Reward: 11.0 | Q Loss: 0.6988204121589661 | Steps: 2136
Episode: 106 | Reward: 44.0 | Q Loss: 0.6962161660194397 | Steps: 2180
Episode: 107 | Reward: 20.0 | Q Loss: 0.6990782618522644 | Steps: 2200
Episode: 108 | Reward: 24.0 | Q Loss: 0.7044950723648071 | Steps: 2224
Episode: 109 | Reward: 53.0 | Q Loss: 0.703133761882782 | Steps: 2277
Episode: 110 | Reward: 25.0 | Q Loss: 0.7039286494255066 | Steps: 2302
Episode: 111 | Reward: 14.0 | Q Loss: 0.7034592628479004 | Steps: 2316
Episode: 112 | Reward: 32.0 | Q Loss: 0.6980050206184387 | Steps: 2348
Episode: 113 | Reward: 20.0 | Q Loss: 0.712594211101532 | Steps: 2368
Episode: 114 | Reward: 10.0 | Q Loss: 0.706275999546051 | Steps: 2378
Episode: 115 | Reward: 12.0 | Q Loss: 0.706325352191925 | Steps: 2390
Episode: 116 | Reward: 37.0 | Q Loss: 0.7008457183837891 | Steps: 2427
Episode: 117 | Reward: 46.0 | Q Loss: 0.703007161617279 | Steps: 2473
Episode: 118 | Reward: 53.0 | Q Loss: 0.7482975721359253 | Steps: 2526
Episode: 119 | Reward: 27.0 | Q Loss: 0.6975982785224915 | Steps: 2553
Episode: 120 | Reward: 11.0 | Q Loss: 0.700670063495636 | Steps: 2564
Episode: 121 | Reward: 19.0 | Q Loss: 0.7056766748428345 | Steps: 2583
Episode: 122 | Reward: 16.0 | Q Loss: 0.7327113151550293 | Steps: 2599
Episode: 123 | Reward: 12.0 | Q Loss: 0.707926332950592 | Steps: 2611
Episode: 124 | Reward: 11.0 | Q Loss: 0.7059635519981384 | Steps: 2622
Episode: 125 | Reward: 24.0 | Q Loss: 0.7162014245986938 | Steps: 2646
Episode: 126 | Reward: 21.0 | Q Loss: 0.6844713687896729 | Steps: 2667
Episode: 127 | Reward: 13.0 | Q Loss: 0.7145329117774963 | Steps: 2680
Episode: 128 | Reward: 12.0 | Q Loss: 0.6947895288467407 | Steps: 2692
Episode: 129 | Reward: 18.0 | Q Loss: 0.7046068906784058 | Steps: 2710
Episode: 130 | Reward: 14.0 | Q Loss: 0.7155290246009827 | Steps: 2724
Episode: 131 | Reward: 13.0 | Q Loss: 0.6935397386550903 | Steps: 2737
Episode: 132 | Reward: 13.0 | Q Loss: 0.7206291556358337 | Steps: 2750
Episode: 133 | Reward: 16.0 | Q Loss: 0.7056761384010315 | Steps: 2766
Episode: 134 | Reward: 42.0 | Q Loss: 0.7081461548805237 | Steps: 2808
Episode: 135 | Reward: 22.0 | Q Loss: 0.6930238604545593 | Steps: 2830
Episode: 136 | Reward: 30.0 | Q Loss: 0.7077913880348206 | Steps: 2860
Episode: 137 | Reward: 21.0 | Q Loss: 0.7351111769676208 | Steps: 2881
Episode: 138 | Reward: 23.0 | Q Loss: 0.7203203439712524 | Steps: 2904
Episode: 139 | Reward: 17.0 | Q Loss: 0.7104483842849731 | Steps: 2921
Episode: 140 | Reward: 20.0 | Q Loss: 0.6962321996688843 | Steps: 2941
Episode: 141 | Reward: 28.0 | Q Loss: 0.7068172693252563 | Steps: 2969
Episode: 142 | Reward: 17.0 | Q Loss: 0.7097765803337097 | Steps: 2986
Episode: 143 | Reward: 40.0 | Q Loss: 0.7258708477020264 | Steps: 3026
Episode: 144 | Reward: 12.0 | Q Loss: 0.7378993630409241 | Steps: 3038
Episode: 145 | Reward: 31.0 | Q Loss: 0.7388269305229187 | Steps: 3069
Episode: 146 | Reward: 13.0 | Q Loss: 0.6905430555343628 | Steps: 3082
Episode: 147 | Reward: 16.0 | Q Loss: 0.7202839255332947 | Steps: 3098
Episode: 148 | Reward: 19.0 | Q Loss: 0.7168369889259338 | Steps: 3117
Episode: 149 | Reward: 38.0 | Q Loss: 0.7002462148666382 | Steps: 3155
Episode: 150 | Reward: 10.0 | Q Loss: 0.7264046669006348 | Steps: 3165
Episode: 151 | Reward: 18.0 | Q Loss: 0.7737061381340027 | Steps: 3183
Episode: 152 | Reward: 36.0 | Q Loss: 0.7155117988586426 | Steps: 3219
Episode: 153 | Reward: 53.0 | Q Loss: 0.7062886953353882 | Steps: 3272
Episode: 154 | Reward: 10.0 | Q Loss: 0.7116866111755371 | Steps: 3282
Episode: 155 | Reward: 13.0 | Q Loss: 0.7212281227111816 | Steps: 3295
Episode: 156 | Reward: 17.0 | Q Loss: 0.6999672651290894 | Steps: 3312
Episode: 157 | Reward: 29.0 | Q Loss: 0.7957267165184021 | Steps: 3341
Episode: 158 | Reward: 13.0 | Q Loss: 0.7080127000808716 | Steps: 3354
Episode: 159 | Reward: 24.0 | Q Loss: 0.7275543212890625 | Steps: 3378
Episode: 160 | Reward: 14.0 | Q Loss: 0.7116835713386536 | Steps: 3392
Episode: 161 | Reward: 18.0 | Q Loss: 0.708423376083374 | Steps: 3410
Episode: 162 | Reward: 16.0 | Q Loss: 0.7065515518188477 | Steps: 3426
Episode: 163 | Reward: 9.0 | Q Loss: 0.7134313583374023 | Steps: 3435
Episode: 164 | Reward: 30.0 | Q Loss: 0.6990992426872253 | Steps: 3465
Episode: 165 | Reward: 43.0 | Q Loss: 0.6822821497917175 | Steps: 3508
Episode: 166 | Reward: 41.0 | Q Loss: 0.7035074830055237 | Steps: 3549
Episode: 167 | Reward: 13.0 | Q Loss: 0.7311635613441467 | Steps: 3562
Episode: 168 | Reward: 14.0 | Q Loss: 0.7022794485092163 | Steps: 3576
Episode: 169 | Reward: 43.0 | Q Loss: 0.7182800769805908 | Steps: 3619
Episode: 170 | Reward: 11.0 | Q Loss: 0.7363917231559753 | Steps: 3630
Episode: 171 | Reward: 10.0 | Q Loss: 0.7197376489639282 | Steps: 3640
Episode: 172 | Reward: 23.0 | Q Loss: 0.7299286723136902 | Steps: 3663
Episode: 173 | Reward: 12.0 | Q Loss: 0.7095046043395996 | Steps: 3675
Episode: 174 | Reward: 12.0 | Q Loss: 0.6944737434387207 | Steps: 3687
Episode: 175 | Reward: 10.0 | Q Loss: 0.7056376934051514 | Steps: 3697
Episode: 176 | Reward: 10.0 | Q Loss: 0.7090521454811096 | Steps: 3707
Episode: 177 | Reward: 14.0 | Q Loss: 0.7031936049461365 | Steps: 3721
Episode: 178 | Reward: 36.0 | Q Loss: 0.7375314831733704 | Steps: 3757
Episode: 179 | Reward: 11.0 | Q Loss: 0.708707869052887 | Steps: 3768
Episode: 180 | Reward: 21.0 | Q Loss: 0.7567618489265442 | Steps: 3789
Episode: 181 | Reward: 22.0 | Q Loss: 0.7162972092628479 | Steps: 3811
Episode: 182 | Reward: 9.0 | Q Loss: 0.6914805769920349 | Steps: 3820
Episode: 183 | Reward: 21.0 | Q Loss: 0.7530416250228882 | Steps: 3841
Episode: 184 | Reward: 20.0 | Q Loss: 0.710236132144928 | Steps: 3861
Episode: 185 | Reward: 13.0 | Q Loss: 0.6974814534187317 | Steps: 3874
Episode: 186 | Reward: 9.0 | Q Loss: 0.703382670879364 | Steps: 3883
Episode: 187 | Reward: 11.0 | Q Loss: 0.711174726486206 | Steps: 3894
Episode: 188 | Reward: 30.0 | Q Loss: 0.7274941205978394 | Steps: 3924
Episode: 189 | Reward: 15.0 | Q Loss: 0.7194200158119202 | Steps: 3939
Episode: 190 | Reward: 11.0 | Q Loss: 0.7335360646247864 | Steps: 3950
Episode: 191 | Reward: 26.0 | Q Loss: 0.7178303003311157 | Steps: 3976
Episode: 192 | Reward: 24.0 | Q Loss: 0.7148492336273193 | Steps: 4000
Episode: 193 | Reward: 69.0 | Q Loss: 0.6960856318473816 | Steps: 4069
Episode: 194 | Reward: 16.0 | Q Loss: 0.7523276209831238 | Steps: 4085
Episode: 195 | Reward: 47.0 | Q Loss: 0.69255530834198 | Steps: 4132
Episode: 196 | Reward: 32.0 | Q Loss: 0.7197593450546265 | Steps: 4164
Episode: 197 | Reward: 16.0 | Q Loss: 0.7393466234207153 | Steps: 4180
Episode: 198 | Reward: 12.0 | Q Loss: 0.7108445167541504 | Steps: 4192
Episode: 199 | Reward: 35.0 | Q Loss: 0.7084745764732361 | Steps: 4227
Episode: 200 | Reward: 36.0 | Q Loss: 0.7184235453605652 | Steps: 4263
Episode: 201 | Reward: 22.0 | Q Loss: 0.7048195600509644 | Steps: 4285
Episode: 202 | Reward: 31.0 | Q Loss: 0.7405565977096558 | Steps: 4316
Episode: 203 | Reward: 30.0 | Q Loss: 0.7795534729957581 | Steps: 4346
Episode: 204 | Reward: 35.0 | Q Loss: 0.7444726228713989 | Steps: 4381
Episode: 205 | Reward: 28.0 | Q Loss: 0.6962329745292664 | Steps: 4409
Episode: 206 | Reward: 12.0 | Q Loss: 0.718784749507904 | Steps: 4421
Episode: 207 | Reward: 19.0 | Q Loss: 0.7109372615814209 | Steps: 4440
Episode: 208 | Reward: 19.0 | Q Loss: 0.7074769139289856 | Steps: 4459
Episode: 209 | Reward: 12.0 | Q Loss: 0.7301777601242065 | Steps: 4471
Episode: 210 | Reward: 10.0 | Q Loss: 0.7073744535446167 | Steps: 4481
Episode: 211 | Reward: 30.0 | Q Loss: 0.7036263942718506 | Steps: 4511
Episode: 212 | Reward: 32.0 | Q Loss: 0.7259992957115173 | Steps: 4543
Episode: 213 | Reward: 30.0 | Q Loss: 0.6947840452194214 | Steps: 4573
Episode: 214 | Reward: 13.0 | Q Loss: 0.720755934715271 | Steps: 4586
Episode: 215 | Reward: 39.0 | Q Loss: 0.7157585620880127 | Steps: 4625
Episode: 216 | Reward: 12.0 | Q Loss: 0.6952320337295532 | Steps: 4637
Episode: 217 | Reward: 44.0 | Q Loss: 0.7143062949180603 | Steps: 4681
Episode: 218 | Reward: 39.0 | Q Loss: 0.758148193359375 | Steps: 4720
Episode: 219 | Reward: 83.0 | Q Loss: 0.694316565990448 | Steps: 4803
Episode: 220 | Reward: 21.0 | Q Loss: 0.7091159224510193 | Steps: 4824
Episode: 221 | Reward: 14.0 | Q Loss: 0.713701605796814 | Steps: 4838
Episode: 222 | Reward: 14.0 | Q Loss: 0.7186148762702942 | Steps: 4852
Episode: 223 | Reward: 29.0 | Q Loss: 0.7151352167129517 | Steps: 4881
Episode: 224 | Reward: 20.0 | Q Loss: 0.6971609592437744 | Steps: 4901
Episode: 225 | Reward: 13.0 | Q Loss: 0.7926544547080994 | Steps: 4914
Episode: 226 | Reward: 15.0 | Q Loss: 0.7233415246009827 | Steps: 4929
