Episode: 1 | Reward: 16.0 | Q Loss: 0.7254091501235962 | Steps: 16
Episode: 2 | Reward: 43.0 | Q Loss: 0.7083680033683777 | Steps: 59
Episode: 3 | Reward: 21.0 | Q Loss: 0.6664962768554688 | Steps: 80
Episode: 4 | Reward: 25.0 | Q Loss: 0.6917788982391357 | Steps: 105
Episode: 5 | Reward: 34.0 | Q Loss: 0.6929707527160645 | Steps: 139
Episode: 6 | Reward: 25.0 | Q Loss: 0.6893601417541504 | Steps: 164
Episode: 7 | Reward: 13.0 | Q Loss: 0.6873031854629517 | Steps: 177
Episode: 8 | Reward: 23.0 | Q Loss: 0.7047588229179382 | Steps: 200
Episode: 9 | Reward: 21.0 | Q Loss: 0.692778468132019 | Steps: 221
Episode: 10 | Reward: 43.0 | Q Loss: 0.7086325883865356 | Steps: 264
Episode: 11 | Reward: 26.0 | Q Loss: 0.6863722801208496 | Steps: 290
Episode: 12 | Reward: 13.0 | Q Loss: 0.6998999118804932 | Steps: 303
Episode: 13 | Reward: 58.0 | Q Loss: 0.6756477952003479 | Steps: 361
Episode: 14 | Reward: 15.0 | Q Loss: 0.695166826248169 | Steps: 376
Episode: 15 | Reward: 14.0 | Q Loss: 0.685587465763092 | Steps: 390
Episode: 16 | Reward: 35.0 | Q Loss: 0.6881670951843262 | Steps: 425
Episode: 17 | Reward: 18.0 | Q Loss: 0.6969907879829407 | Steps: 443
Episode: 18 | Reward: 57.0 | Q Loss: 0.6933149099349976 | Steps: 500
Episode: 19 | Reward: 23.0 | Q Loss: 0.6912819743156433 | Steps: 523
Episode: 20 | Reward: 18.0 | Q Loss: 0.7012619972229004 | Steps: 541
Episode: 21 | Reward: 10.0 | Q Loss: 0.7005249857902527 | Steps: 551
Episode: 22 | Reward: 16.0 | Q Loss: 0.6995800137519836 | Steps: 567
Episode: 23 | Reward: 14.0 | Q Loss: 0.6950640678405762 | Steps: 581
Episode: 24 | Reward: 18.0 | Q Loss: 0.6873811483383179 | Steps: 599
