Episode: 1 | Reward: 13.0 | Q Loss: 0.7685567140579224 | Steps: 13
Episode: 2 | Reward: 20.0 | Q Loss: 0.6889861822128296 | Steps: 33
Episode: 3 | Reward: 17.0 | Q Loss: 0.7105347514152527 | Steps: 50
Episode: 4 | Reward: 17.0 | Q Loss: 0.6990936994552612 | Steps: 67
Episode: 5 | Reward: 16.0 | Q Loss: 0.7021795511245728 | Steps: 83
Episode: 6 | Reward: 31.0 | Q Loss: 0.6959189176559448 | Steps: 114
Episode: 7 | Reward: 17.0 | Q Loss: 0.6916447877883911 | Steps: 131
Episode: 8 | Reward: 19.0 | Q Loss: 0.6867631673812866 | Steps: 150
Episode: 9 | Reward: 39.0 | Q Loss: 0.7014161348342896 | Steps: 189
Episode: 10 | Reward: 15.0 | Q Loss: 0.6926542520523071 | Steps: 204
Episode: 11 | Reward: 11.0 | Q Loss: 0.6929665207862854 | Steps: 215
Episode: 12 | Reward: 20.0 | Q Loss: 0.6870377659797668 | Steps: 235
Episode: 13 | Reward: 20.0 | Q Loss: 0.703330934047699 | Steps: 255
Episode: 14 | Reward: 17.0 | Q Loss: 0.6916060447692871 | Steps: 272
Episode: 15 | Reward: 19.0 | Q Loss: 0.7058616280555725 | Steps: 291
Episode: 16 | Reward: 14.0 | Q Loss: 0.6965910196304321 | Steps: 305
Episode: 17 | Reward: 14.0 | Q Loss: 0.6950560212135315 | Steps: 319
Episode: 18 | Reward: 24.0 | Q Loss: 0.6758325099945068 | Steps: 343
Episode: 19 | Reward: 65.0 | Q Loss: 0.7100566029548645 | Steps: 408
Episode: 20 | Reward: 24.0 | Q Loss: 0.69636470079422 | Steps: 432
Episode: 21 | Reward: 13.0 | Q Loss: 0.6922813057899475 | Steps: 445
Episode: 22 | Reward: 12.0 | Q Loss: 0.6961089372634888 | Steps: 457
Episode: 23 | Reward: 26.0 | Q Loss: 0.6899356842041016 | Steps: 483
Episode: 24 | Reward: 38.0 | Q Loss: 0.7017794251441956 | Steps: 521
Episode: 25 | Reward: 67.0 | Q Loss: 0.69095778465271 | Steps: 588
Episode: 26 | Reward: 12.0 | Q Loss: 0.6936365962028503 | Steps: 600
Episode: 27 | Reward: 12.0 | Q Loss: 0.7006364464759827 | Steps: 612
Episode: 28 | Reward: 22.0 | Q Loss: 0.6997661590576172 | Steps: 634
Episode: 29 | Reward: 26.0 | Q Loss: 0.6916934847831726 | Steps: 660
Episode: 30 | Reward: 13.0 | Q Loss: 0.6863123178482056 | Steps: 673
Episode: 31 | Reward: 20.0 | Q Loss: 0.6711785197257996 | Steps: 693
Episode: 32 | Reward: 19.0 | Q Loss: 0.6943226456642151 | Steps: 712
Episode: 33 | Reward: 10.0 | Q Loss: 0.6959084868431091 | Steps: 722
Episode: 34 | Reward: 23.0 | Q Loss: 0.6949189305305481 | Steps: 745
Episode: 35 | Reward: 29.0 | Q Loss: 0.6976521015167236 | Steps: 774
Episode: 36 | Reward: 27.0 | Q Loss: 0.6926032304763794 | Steps: 801
Episode: 37 | Reward: 18.0 | Q Loss: 0.6978662014007568 | Steps: 819
Episode: 38 | Reward: 35.0 | Q Loss: 0.6945792436599731 | Steps: 854
Episode: 39 | Reward: 17.0 | Q Loss: 0.7077022790908813 | Steps: 871
Episode: 40 | Reward: 18.0 | Q Loss: 0.6887202858924866 | Steps: 889
Episode: 41 | Reward: 14.0 | Q Loss: 0.6889700889587402 | Steps: 903
Episode: 42 | Reward: 14.0 | Q Loss: 0.7016842365264893 | Steps: 917
Episode: 43 | Reward: 16.0 | Q Loss: 0.6992276906967163 | Steps: 933
Episode: 44 | Reward: 15.0 | Q Loss: 0.709401547908783 | Steps: 948
Episode: 45 | Reward: 13.0 | Q Loss: 0.7043494582176208 | Steps: 961
Episode: 46 | Reward: 13.0 | Q Loss: 0.6964906454086304 | Steps: 974
Episode: 47 | Reward: 23.0 | Q Loss: 0.6938778758049011 | Steps: 997
Episode: 48 | Reward: 23.0 | Q Loss: 0.7103082537651062 | Steps: 1020
Episode: 49 | Reward: 45.0 | Q Loss: 0.7011081576347351 | Steps: 1065
