
Episode: 1 | Reward: -1163.475675479946 | Polciy Loss: 6.514744758605957 | Steps: 200
Episode: 2 | Reward: -1069.3529373802369 | Polciy Loss: 11.205387115478516 | Steps: 400
Episode: 3 | Reward: -1376.5015902715238 | Polciy Loss: 15.981213569641113 | Steps: 600
Episode: 4 | Reward: -1345.2062003860149 | Polciy Loss: 20.317367553710938 | Steps: 800
Episode: 5 | Reward: -1192.6567072275272 | Polciy Loss: 27.112415313720703 | Steps: 1000
Episode: 6 | Reward: -930.9309287810773 | Polciy Loss: 31.017696380615234 | Steps: 1200
Episode: 7 | Reward: -1454.6244732628757 | Polciy Loss: 35.965415954589844 | Steps: 1400
Episode: 8 | Reward: -1262.381498389653 | Polciy Loss: 41.642181396484375 | Steps: 1600
Episode: 9 | Reward: -1047.1427059176892 | Polciy Loss: 46.149208068847656 | Steps: 1800
Episode: 10 | Reward: -816.4854568659548 | Polciy Loss: 50.000701904296875 | Steps: 2000
Episode: 11 | Reward: -992.0245180790321 | Polciy Loss: 58.87854766845703 | Steps: 2200
Episode: 12 | Reward: -1088.980154847013 | Polciy Loss: 63.08088684082031 | Steps: 2400
Episode: 13 | Reward: -1206.83175317994 | Polciy Loss: 67.3985595703125 | Steps: 2600
Episode: 14 | Reward: -616.134447368869 | Polciy Loss: 73.53441619873047 | Steps: 2800
Episode: 15 | Reward: -874.39748069424 | Polciy Loss: 77.94029998779297 | Steps: 3000
Episode: 16 | Reward: -1025.8360051441628 | Polciy Loss: 78.90037536621094 | Steps: 3200
Episode: 17 | Reward: -872.5760709420211 | Polciy Loss: 84.93243408203125 | Steps: 3400
Episode: 18 | Reward: -1189.1857809599526 | Polciy Loss: 90.8086166381836 | Steps: 3600
Episode: 19 | Reward: -1013.8786143636455 | Polciy Loss: 95.24952697753906 | Steps: 3800
Episode: 20 | Reward: -1051.874568521364 | Polciy Loss: 98.32958984375 | Steps: 4000
Episode: 21 | Reward: -890.5280619523004 | Polciy Loss: 105.13116455078125 | Steps: 4200
Episode: 22 | Reward: -457.22386587913115 | Polciy Loss: 110.66974639892578 | Steps: 4400
Episode: 23 | Reward: -499.6965637694537 | Polciy Loss: 111.9717025756836 | Steps: 4600
Episode: 24 | Reward: -871.3788413756182 | Polciy Loss: 116.11767578125 | Steps: 4800
