/home/zhx/miniconda3/envs/CQL/lib/python3.9/site-packages/gym/utils/passive_env_checker.py:233: DeprecationWarning: `np.bool8` is a deprecated alias for `np.bool_`.  (Deprecated NumPy 1.24)
  if not isinstance(terminated, (bool, np.bool8)):
Episode: 1 | Reward: -748.4152866817802 | Polciy Loss: 5.777460098266602 | Steps: 200
Episode: 2 | Reward: -1073.9944628980732 | Polciy Loss: 8.973811149597168 | Steps: 400
Episode: 3 | Reward: -1125.873219711882 | Polciy Loss: 12.554587364196777 | Steps: 600
Episode: 4 | Reward: -1403.1496654268071 | Polciy Loss: 18.70616340637207 | Steps: 800
Episode: 5 | Reward: -1715.7632522143026 | Polciy Loss: 23.525066375732422 | Steps: 1000
Episode: 6 | Reward: -1368.5335383994616 | Polciy Loss: 25.219505310058594 | Steps: 1200
Episode: 7 | Reward: -1654.2770127565268 | Polciy Loss: 30.84501075744629 | Steps: 1400
Episode: 8 | Reward: -1105.9679196501215 | Polciy Loss: 35.9681282043457 | Steps: 1600
Episode: 9 | Reward: -1420.276182369937 | Polciy Loss: 41.77032470703125 | Steps: 1800
Episode: 10 | Reward: -1471.7128140515167 | Polciy Loss: 49.21165466308594 | Steps: 2000
Episode: 11 | Reward: -1037.682136166493 | Polciy Loss: 48.99475860595703 | Steps: 2200
Episode: 12 | Reward: -854.9040507802173 | Polciy Loss: 55.41966247558594 | Steps: 2400
Episode: 13 | Reward: -493.81803375452193 | Polciy Loss: 59.64361572265625 | Steps: 2600
Episode: 14 | Reward: -501.7129479367856 | Polciy Loss: 65.43421173095703 | Steps: 2800
Episode: 15 | Reward: -1140.9523940013892 | Polciy Loss: 72.26945495605469 | Steps: 3000
Episode: 16 | Reward: -973.7721424609576 | Polciy Loss: 75.69412231445312 | Steps: 3200
Episode: 17 | Reward: -623.9333992479916 | Polciy Loss: 77.8758544921875 | Steps: 3400
Episode: 18 | Reward: -250.7084841262151 | Polciy Loss: 79.67484283447266 | Steps: 3600
Episode: 19 | Reward: -124.58973964900477 | Polciy Loss: 85.58798217773438 | Steps: 3800
Episode: 20 | Reward: -125.41381386885358 | Polciy Loss: 87.76493835449219 | Steps: 4000
Episode: 21 | Reward: -124.92317227217534 | Polciy Loss: 88.56835174560547 | Steps: 4200
Episode: 22 | Reward: -246.68276233922148 | Polciy Loss: 90.90496826171875 | Steps: 4400
Episode: 23 | Reward: -127.20757130292053 | Polciy Loss: 97.28488159179688 | Steps: 4600
Episode: 24 | Reward: -485.01250264271437 | Polciy Loss: 100.15160369873047 | Steps: 4800
Episode: 25 | Reward: -593.1975807486118 | Polciy Loss: 102.39448547363281 | Steps: 5000
Episode: 26 | Reward: -613.2856491631123 | Polciy Loss: 98.11815643310547 | Steps: 5200
Episode: 27 | Reward: -249.56696648558793 | Polciy Loss: 104.23035430908203 | Steps: 5400
Episode: 28 | Reward: -121.11094431429056 | Polciy Loss: 110.90409851074219 | Steps: 5600
Episode: 29 | Reward: -610.5561935986289 | Polciy Loss: 106.67378997802734 | Steps: 5800
Episode: 30 | Reward: -490.1133356389793 | Polciy Loss: 113.75588989257812 | Steps: 6000
Episode: 31 | Reward: -126.55268969226438 | Polciy Loss: 108.78451538085938 | Steps: 6200
Episode: 32 | Reward: -122.24537655955312 | Polciy Loss: 110.84690856933594 | Steps: 6400
Episode: 33 | Reward: -237.71740392487467 | Polciy Loss: 116.49110412597656 | Steps: 6600
Episode: 34 | Reward: -121.48606592960563 | Polciy Loss: 114.4404525756836 | Steps: 6800
Episode: 35 | Reward: -121.1747140982143 | Polciy Loss: 117.58139038085938 | Steps: 7000
Episode: 36 | Reward: -125.60142868247596 | Polciy Loss: 116.149169921875 | Steps: 7200
Episode: 37 | Reward: -125.56590984145674 | Polciy Loss: 115.55667114257812 | Steps: 7400
Episode: 38 | Reward: -123.85942233289741 | Polciy Loss: 120.95499420166016 | Steps: 7600
Episode: 39 | Reward: -237.8068509989216 | Polciy Loss: 120.39200592041016 | Steps: 7800
Episode: 40 | Reward: -126.24617985931607 | Polciy Loss: 119.30670166015625 | Steps: 8000
Episode: 41 | Reward: -236.13010916441166 | Polciy Loss: 119.44529724121094 | Steps: 8200
Episode: 42 | Reward: -124.86951669946544 | Polciy Loss: 125.89788818359375 | Steps: 8400
Episode: 43 | Reward: -358.83967465232985 | Polciy Loss: 126.68153381347656 | Steps: 8600
Episode: 44 | Reward: -640.3928825888466 | Polciy Loss: 122.74201202392578 | Steps: 8800
Episode: 45 | Reward: -122.20591095627447 | Polciy Loss: 130.89683532714844 | Steps: 9000
Episode: 46 | Reward: -126.18752577510239 | Polciy Loss: 118.17021942138672 | Steps: 9200
Episode: 47 | Reward: -640.3845866463039 | Polciy Loss: 117.11270141601562 | Steps: 9400
Episode: 48 | Reward: -124.83413284571391 | Polciy Loss: 133.00155639648438 | Steps: 9600
